,RouteID,RouteName,RouteDirection,NumOfAlternatives,RouteLength,WeeklyKM,AVGPassengersPerWeek,StationsInRoute,UniqueStations,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,year,Q,AverageSpeed,AverageTripDuration,OperatingCostPerPassenger
Friday - 00:00-03:59,0.4453025003457169,0.009397351944550852,-0.18819249275050579,0.4324892468009386,0.013614304297498088,0.39505632942284447,0.31622046843818463,-0.3778232849464843,-0.08338945816129892,0.4288746699851552,0.4276923238086643,0.4723215900062091,0.4711443060337564,0.7828937146312906,0.42736028972126944,0.2858866891721999,0.6659091051171493,0.7109289674510784,0.9209608353791642,0.9242403314049632,0.6916856183107879,1.0,0.1366915782497098,0.3789459133914745,0.36294948728492965,0.5774409817498513,0.8852199264918984,0.7160793808129473,0.710802921397376,-0.5989461222734704,-0.7340046752042749,0.5992792008774128,0.6521168239884532,0.7949923728244308,0.809737338792089,-0.3906565254669958,0.4222691168081074,-0.33893143662397285,-0.06375088196199462,-0.6834825141954028
Friday - 04:00-05:59,-0.09279302251293234,0.06978049683756293,-0.00013008079844646083,0.053471790249040606,0.06764839719264687,0.42740758444047616,0.5010745981063536,0.15999953390454683,-0.13988809972018193,0.42605474669830135,0.42976535734661225,0.6327317822378871,0.6355023539166853,0.6000028793206951,0.6049682365169162,0.758271261345186,0.5574474932075726,0.5493743872194913,0.5756769320223161,0.6162936035349601,0.5888907632629806,0.1366915782497098,1.0,0.5859373643076377,0.5722479928167404,0.5723243463839709,0.3847209253351807,0.7171503945278104,-0.02431954622882249,0.7478849943665846,0.6840429534349218,0.5924016716006417,0.5430217053435294,0.3964624517808865,0.5772509864409772,-0.03431158078345749,0.030300487671731238,-0.11312161971123669,0.20906866955606965,-0.13558258231695303
Friday - 06:00-08:59,-0.07723094431361258,0.07904406698658803,0.03886874699288771,0.04159991035110417,-0.03592049460803827,0.35038115814766063,0.6369976054466558,0.28582866110472394,-0.13649032227659175,0.42469862185588647,0.422545632407377,0.6651809739779097,0.6666394325620079,0.8785288926856851,0.5131479635152256,0.5855048510597411,0.8805291151560292,0.8308033234405449,0.8019525099774849,0.7936078371875555,0.7511415728558618,0.3789459133914745,0.5859373643076377,1.0,0.8497228407514701,0.768110875968418,0.5401765739946045,0.5618589024628508,0.13030460384912107,0.48865347975790774,0.699211555796552,0.6308451072697151,0.5567735889424954,0.5030090011718606,0.6831908417400812,-0.07218114650261792,0.06123681412592427,-0.2832656449103379,0.1361093984089884,-0.29001586927657275
Friday - 09:00-11:59,-0.06067484637221258,0.04258155847721809,0.1009294963925861,0.031689743422915674,-0.00034085826663966123,0.393485188006223,0.14048265705382748,0.3273668685251588,-0.12125394453378129,0.49610806530074647,0.49545076165500707,0.7257688998512611,0.7285278879054782,0.17141524605695443,0.46019547856704196,0.5154018824310121,0.7923375749992133,0.8773865401067392,0.8298636107673972,0.818081216091998,0.7652511905495691,0.36294948728492965,0.5722479928167404,0.8497228407514701,1.0,0.831705137184661,0.5575290332222465,0.6173166170567399,0.1345006159233569,0.45168303030590545,0.7655084004877578,0.7512314505867093,0.6882398048389383,0.5333521239773947,0.6720771132375702,-0.05322321545397297,0.039764736564204775,-0.2970812643905503,0.16786926561544552,-0.2970152681030074
Friday - 12:00-14:59,-0.1363899379960044,0.07652877330803183,0.03409571671381076,0.05029384807746501,0.055623315768495996,0.5072818303424264,0.5585582602870172,0.394085302107496,-0.11992267281984115,0.5035353143616796,0.5062409659704589,0.7225518289350493,0.7282079014438554,0.8674095721080087,0.4362133390633434,0.5262481179932514,0.7412005712426555,0.807124002077394,0.8379586931171161,0.8463635443286986,0.8006977348063427,0.5774409817498513,0.5723243463839709,0.768110875968418,0.831705137184661,1.0,0.6707755453798443,0.7569180760292239,0.17566512671330686,0.389746097466983,0.7074014452990374,0.7880643024850081,0.7861753748282398,0.6016306756081343,0.7121552442080455,-0.06389351263537887,0.04856932383854298,-0.22495071542798195,0.28414023258254645,-0.28184081718635456
Friday - 15:00-18:59,-0.20650126938767996,0.22682942693066538,0.009550631993000833,0.11531948030542262,0.19064043817207296,0.42402701036796486,0.3015494508583852,0.33143165284538184,-0.11428495573015672,0.23725677645361518,0.2520469195811786,0.47565192411426116,0.4925105030981159,0.5891707650411858,0.14915818819830554,0.4534594466203848,0.514900708407163,0.580892644729379,0.5597125660962852,0.572169615734369,0.5691521348908356,0.8852199264918984,0.3847209253351807,0.5401765739946045,0.5575290332222465,0.6707755453798443,1.0,0.9297772638382382,0.7458792510230963,0.5745418461784022,0.5993835163481915,0.8077270336566198,0.7849412650793447,0.5754412731882939,0.5738825551874148,-0.13494847218748804,0.1316939432414642,-0.07537156843229766,0.4194945631093475,-0.1716362130355594
Friday - 19:00-23:59,0.13316836923879785,0.20119039255959084,0.04747658341159164,0.047367486812332237,0.04664294039191044,0.7194408742013337,0.49430657786473287,0.0943613478682744,-0.004172620848633511,0.5525886274531862,0.5469030231170103,0.8279604214404573,0.8298868984543988,0.8040982520647814,0.06821538165115626,0.6092435524928642,0.7660551149147186,0.8504521188479485,0.8222797826998605,0.9112036753651741,0.7878924468022985,0.7160793808129473,0.7171503945278104,0.5618589024628508,0.6173166170567399,0.7569180760292239,0.9297772638382382,1.0,0.860777731403643,0.6566935634998377,0.6057014095752147,0.8834302351595296,0.8526722786555274,0.93611110197542,0.8434891118298521,-0.05264976992461422,0.04692999702391404,0.006284264558372111,0.21741804512072693,-0.35611184572403914
Saturday - 00:00-03:59,0.08311739061527298,-0.04607378428337145,-0.021573009383693657,0.12812239233590642,-0.00135397274877726,0.1336621791021147,-0.02349902988529953,0.26547041047852044,-0.09575611861924985,0.05530452421811171,0.07938554124154994,0.1262546804252345,0.1430404890672546,0.018187748736901745,-0.06489062641940799,0.16732981510715103,0.13814242017410874,0.15295930856118523,0.1327288515593418,0.11607289750922539,-0.03214257437006209,0.710802921397376,-0.02431954622882249,0.13030460384912107,0.1345006159233569,0.17566512671330686,0.7458792510230963,0.860777731403643,1.0,-0.8403816682085049,-0.9756064362557788,0.8987208130863321,0.9203876495669182,0.35785558187609745,-0.034392105368223104,-0.040531171052932295,0.029534018021872086,0.024691738589608887,0.011403959787785,0.0023886922745958872
Saturday - 04:00-05:59,0.12170226057361615,0.1333150135613798,0.027675996017934728,0.05527014079467745,0.13728348186553202,0.6033781690659709,0.31557175343434923,0.01514871998705173,-0.20851197050674913,0.5228889804719865,0.4987923460239298,0.7022346317384067,0.7008758916853637,0.5111623202119896,0.7993839076429657,0.5922210566234746,0.47794868838354104,0.5670704059031365,0.5195515086909906,0.5859316293144117,0.518374561606358,-0.5989461222734704,0.7478849943665846,0.48865347975790774,0.45168303030590545,0.389746097466983,0.5745418461784022,0.6566935634998377,-0.8403816682085049,1.0,0.3787884170306179,0.6156128480499773,0.5569790841227598,0.6754452997847186,0.5233825709122225,-0.08436558216055305,0.08510517519095163,0.07534615117633575,0.1611963765876603,-0.21960861144583652
Saturday - 06:00-08:59,-0.27469648482286063,0.5341121189102753,0.26884085819036896,-0.05115066807650635,-0.03982048695266675,0.21134838860974617,0.4348901628760919,-0.08149443192391467,-0.21620565777437603,0.20553543273998784,0.21158773365927838,0.5906285481493004,0.5964248845531206,0.877914420648308,0.49747327410142916,0.7387563140071717,0.9134886140110718,0.8292167606775936,0.8033075279687366,0.7573687405172785,0.6954607710020276,-0.7340046752042749,0.6840429534349218,0.699211555796552,0.7655084004877578,0.7074014452990374,0.5993835163481915,0.6057014095752147,-0.9756064362557788,0.3787884170306179,1.0,0.7962347836107903,0.7890250426426031,0.7038304766517205,0.6949660945377996,-0.09116665101340715,0.09238404239432144,-0.33444725574368217,0.21981989877986322,-0.3643689182505595
