RouteID,RouteName,RouteDirection,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,BusType,BusSize,NumOfAlternatives,RouteLength,WeeklyKM,AVGPassengersPerWeek,StationsInRoute,OperationSince,UniqueStations,UniqueLocations,AverageSpeed,AverageTripDuration,OperatingCostPerPassenger,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,MaxRidership,year,Q
10019,19,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,3,10.5,4539.7,3.1,46,מעל שנה וחצי,,,14.37,43.84,7.54,72.0,400,2553.8,13960.7,34.9,,,23.4,38.1,57.7,28.1,27.5,,,20.3,34.8,45.1,11.4,,,,,,,18.8,15.6,ימי חול - 12:00-14:59,2024,1
10020,20,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,20.1,6834.0,1.8,86,מעל שנה וחצי,13.0,,20.5,58.83,10.03,60.0,340,2152.8,11960.2,35.2,,9.2,36.4,40.4,71.0,25.4,16.2,,8.2,25.4,36.0,41.5,6.5,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10021,21,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,10.6,105.8,0.9,35,מעל שנה וחצי,,,20.95,30.36,18.78,2.0,10,19.4,97.0,9.7,,9.7,,,,,,,,,,,,,,,,,,,,ימי חול - 04:00-05:59,2024,1
10023,23,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,10.5,94.3,0.8,34,מעל שנה וחצי,,,19.49,32.32,22.7,0.0,9,0.0,76.9,8.5,,,,,,,,,,,,,,,,,,8.2,11.0,0.0,,שבת - 12:00-14:59,2024,1
10023,23,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,10.5,94.2,2.0,34,מעל שנה וחצי,,,15.33,41.1,11.81,0.0,9,0.0,188.0,20.9,,,,,,,,,,,,,,,,,,16.3,28.8,7.6,,שבת - 12:00-14:59,2024,1
10024,24,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,26.6,7338.0,1.5,67,מעל שנה וחצי,,,20.11,79.36,12.07,49.0,276,1983.4,10891.0,39.5,,9.7,34.6,44.0,61.1,29.5,37.5,,5.4,24.9,35.7,44.1,10.6,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10024,24,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,22.9,6782.2,1.5,59,מעל שנה וחצי,,,20.96,65.55,11.42,53.0,296,1862.1,10191.5,34.4,,6.5,32.9,35.6,60.8,24.2,22.7,,4.2,19.1,33.7,37.2,,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10025,25,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,2,8.5,3221.7,1.5,33,מעל שנה וחצי,,,18.81,27.11,13.22,64.0,385,810.3,4738.7,12.3,,2.0,11.1,12.5,24.5,10.9,6.3,,3.2,9.4,14.9,22.4,0.0,,,,7.7,7.6,14.0,7.2,2.3,ימי חול - 12:00-14:59,2024,1
10025,25,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,2,8.7,3276.4,1.5,32,מעל שנה וחצי,,,16.79,31.09,14.08,64.0,383,835.6,5075.8,13.3,,3.1,14.9,15.6,22.9,9.0,4.5,,3.9,13.8,16.7,22.5,0.0,,,,,15.2,23.4,8.5,5.7,שבת - 12:00-14:59,2024,1
10027,27,1,תנופה,שומרון,מרכז,חדרה,מבוא דותן,אזורי,מאסף,סדיר,בינעירוני ממוגן ירי,אוטובוס,1,40.5,1377.7,0.2,25,מעל שנה וחצי,3.0,"חרמש, מבוא דותן",40.74,59.65,45.59,6.0,34,49.7,266.9,7.8,,,1.3,8.4,17.0,11.5,5.8,,,2.1,6.2,4.8,,,,,,,,,5.3,ימי חול - 12:00-14:59,2024,1
10027,27,2,תנופה,שומרון,מרכז,מבוא דותן,חדרה,אזורי,מאסף,סדיר,בינעירוני ממוגן ירי,אוטובוס,1,40.0,1360.1,0.2,23,מעל שנה וחצי,3.0,"מבוא דותן, חרמש",42.49,56.48,38.6,6.0,34,54.8,298.5,8.8,,,20.4,12.6,10.3,3.0,5.6,,,9.6,4.4,4.8,,,,,,,,5.7,,ימי חול - 06:00-08:59,2024,1
10028,28,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,18.3,5867.9,2.4,60,מעל שנה וחצי,,,18.44,59.54,8.08,56.0,321,2480.3,14185.7,44.2,,10.0,27.9,48.2,75.5,36.4,29.7,,10.4,27.3,52.8,71.0,19.3,,,,,,,36.8,29.3,ימי חול - 12:00-14:59,2024,1
10028,28,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,3,18.1,6597.2,3.2,57,מעל שנה וחצי,,,14.84,73.18,7.48,64.0,364,3831.8,21358.3,58.7,,4.9,57.0,62.8,100.2,45.3,44.4,,0.1,40.7,61.7,76.0,9.0,,,,,31.9,,25.6,37.2,ימי חול - 12:00-14:59,2024,1
10028,28,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,2,25.6,239.6,2.0,87,מעל שנה וחצי,,,18.48,83.12,9.16,0.0,9,0.0,489.8,54.4,,,,,,,,,,,,,,,,,,42.6,71.2,38.6,,שבת - 12:00-14:59,2024,1
10029,29,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,23.1,5536.3,1.1,79,מעל שנה וחצי,12.0,,21.15,65.53,15.87,43.0,240,1088.2,5947.5,24.8,,,19.9,21.4,44.2,19.6,20.9,,,12.5,18.8,29.7,,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10030,30,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,14.3,3798.8,1.7,50,מעל שנה וחצי,,,18.89,45.42,10.94,48.0,265,1185.1,6601.6,24.9,,7.0,24.5,21.7,44.9,20.0,14.7,,7.9,19.6,28.5,39.2,,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10030,30,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,13.8,3647.2,1.6,55,מעל שנה וחצי,,,21.08,39.28,10.42,48.0,265,1066.7,5994.8,22.6,,0.4,27.1,22.6,46.3,15.4,9.0,,1.0,21.3,28.2,31.0,,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10031,31,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,17.1,1902.0,1.9,51,מעל שנה וחצי,,,15.67,65.48,11.89,20.0,111,681.9,3668.3,33.0,,,35.3,27.0,48.4,27.8,29.1,,,22.3,22.0,29.4,,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10031,31,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,16.9,2040.4,1.4,52,מעל שנה וחצי,,,19.6,51.73,13.3,22.0,121,522.6,2823.3,23.3,,,23.5,20.1,50.5,16.0,10.3,,,18.2,22.8,17.0,,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10032,32,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,מיניבוס,1,14.4,158.8,1.4,59,מעל שנה וחצי,32.0,,19.52,44.26,12.85,2.0,11,41.0,227.4,20.7,,,,,20.5,,,,,,22.4,,,,,,,,,,,שישי - 09:00-11:59,2024,1
10032,32,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,מיניבוס,1,10.1,60.5,1.4,44,מעל שנה וחצי,22.0,,19.63,30.87,12.91,1.0,6,15.7,86.1,14.4,,,15.7,,,,,,,7.6,,,,,,,,,,,,ימי חול - 06:00-08:59,2024,1
10032,32,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,14.0,2248.0,0.7,54,מעל שנה וחצי,32.0,,20.9,40.19,23.96,29.0,161,294.1,1620.4999999999998,10.1,,,10.0,11.4,19.4,8.4,5.3,,,6.1,11.8,10.1,,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10033,33,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,3,7.7,2358.0,1.8,52,מעל שנה וחצי,3.0,,16.09,28.71,12.44,53.0,300,751.7,4153.3,13.8,,1.3,14.3,13.3,27.3,10.0,6.5,,1.0,10.4,13.1,16.6,3.4,,,,,,,9.0,5.2,ימי חול - 12:00-14:59,2024,1
10034,34,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,11.3,45.3,2.2,55,מעל שנה וחצי,1.0,,15.27,44.4,10.7,1.0,4,19.9,99.6,24.9,,,,,19.9,,,,,,,,,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10034,34,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,2,7.6,2165.3,1.8,53,מעל שנה וחצי,2.0,,16.29,27.99,11.96,50.0,282,713.7,3961.3,14.0,,2.6,15.5,14.5,22.9,10.3,6.9,,2.2,13.8,11.7,17.1,2.5,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10035,35,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,11.6,23.2,0.7,46,מעל שנה וחצי,,,23.53,29.58,21.78,0.0,2,0.3,16.3,8.2,,,,,,,,,,,,,,,,,,,,14.8,0.0,שבת - 15:00-18:59,2024,1
10035,35,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,9.9,9.9,0.8,39,מעל שנה וחצי,,,25.5,23.29,17.47,0.0,1,0.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,8.0,,שבת - 15:00-18:59,2024,1
10036,36,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,3,20.2,1369.7,1.2,56,מעל שנה וחצי,,,21.96,55.19,14.59,13.0,74,299.1,1680.1,22.7,,,16.8,25.4,34.7,17.4,,,,14.2,21.0,50.6,,,,,,,,,,שישי - 12:00-14:59,2024,1
10036,36,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,4,17.4,1660.3,2.0,51,מעל שנה וחצי,,,14.66,71.21,14.54,20.0,113,600.9,3321.1,29.4,,3.0,22.8,46.3,59.4,25.4,19.6,,0.0,18.5,31.7,36.9,,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10037,37,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,4,15.0,10824.1,1.8,81,מעל שנה וחצי,,,19.5,46.15,6.91,86.0,491,3514.6,19688.4,40.1,,18.3,28.9,43.9,70.4,29.6,28.5,,17.8,32.4,36.4,57.7,19.4,,,,,20.4,62.4,24.2,18.4,ימי חול - 12:00-14:59,2024,1
10037,37,2,אגד,חיפה עירוני,מטרופולין חיפה,דאלית אל כרמל,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,3,28.9,9547.8,2.1,75,מעל שנה וחצי,,,16.83,103.03,13.26,74.0,423,3558.9,19723.3,46.6,,4.8,48.5,59.7,85.8,29.2,27.0,,2.9,35.8,51.3,54.2,16.4,,,,,21.0,63.6,20.1,21.8,ימי חול - 12:00-14:59,2024,1
10038,38,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,11.6,3239.0,1.3,45,מעל שנה וחצי,16.0,,22.25,31.28,12.87,50.0,280,739.8,4083.7,14.6,,4.3,16.1,17.1,27.5,10.0,6.3,,3.4,10.7,14.7,18.2,0.0,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10039,39,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,מיניבוס,1,12.4,136.9,1.2,56,מעל שנה וחצי,9.0,,21.55,34.52,13.5,2.0,11,31.9,168.8,15.3,,,,,16.0,,,,,,,9.3,,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10039,39,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,מיניבוס,2,10.1,118.1,1.4,47,מעל שנה וחצי,16.0,,19.56,30.98,13.45,2.0,12,30.5,165.8,13.8,,,15.2,,,,,,,6.6,,,,,,,,,,,,ימי חול - 06:00-08:59,2024,1
10039,39,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,11.6,2383.5,0.7,50,מעל שנה וחצי,8.0,,21.13,32.94,23.91,37.0,205,315.2,1694.6,8.3,,,9.0,7.4,15.3,6.1,5.1,,,4.8,6.0,6.9,,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10040,40,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,3,14.7,4146.3,2.1,45,מעל שנה וחצי,,,16.26,54.24,10.79,47.0,295,1500.7,8894.3,30.2,,,17.8,39.1,64.1,26.0,14.3,,,14.5,31.4,52.6,6.7,,,,4.5,20.3,33.5,10.6,8.6,ימי חול - 12:00-14:59,2024,1
10040,40,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,3,14.4,3932.5,1.9,41,מעל שנה וחצי,,,16.32,52.94,11.97,46.0,288,1300.0,7642.2,26.5,,7.9,24.6,41.6,47.8,18.1,11.6,,9.8,17.6,36.8,37.6,2.8,,,,5.1,15.8,22.8,6.3,7.0,ימי חול - 12:00-14:59,2024,1
10042,42,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,14.8,1187.6,2.1,44,מעל שנה וחצי,7.0,,15.06,58.96,11.2,14.0,80,442.2,2526.5,31.6,,9.5,24.6,37.5,59.0,19.9,,,6.2,15.1,42.6,45.5,,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10042,42,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,12.2,973.3,2.0,40,מעל שנה וחצי,6.0,,15.85,46.18,11.33,14.0,80,353.5,1956.8,24.5,,,18.0,35.8,40.7,14.7,7.6,,,16.4,25.9,20.7,0.0,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10043,43,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,14.1,1582.6,0.9,39,מעל שנה וחצי,7.0,,24.57,34.43,15.88,20.0,112,258.8,1457.0,13.0,,,16.9,8.2,30.8,6.5,4.3,,,8.8,16.2,18.0,0.0,,,,,,,,,ימי חול - 12:00-14:59,2024,1
