RouteID,RouteName,RouteDirection,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,BusType,BusSize,NumOfAlternatives,RouteLength,WeeklyKM,AVGPassengersPerWeek,StationsInRoute,OperationSince,UniqueStations,UniqueLocations,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,MaxRidership,year,Q
11884,884,1,קווים,חשמונאים,מרכז,לוד,מודיעין עילית,בינעירוני,ישיר,סדיר,בינעירוני,אוטובוס,1,20.2,1632.8,1.0,13,מעל שנה וחצי,,,13,81,276.2,1626.0,20.1,,1.0,26.3,8.8,48.6,16.0,16.6,,0.0,8.6,8.2,27.4,,,,,,,,13.4,16.6,ימי חול - 12:00-14:59,2022,4
11884,884,2,קווים,חשמונאים,מרכז,מודיעין עילית,לוד,בינעירוני,ישיר,סדיר,בינעירוני,אוטובוס,1,20.4,1613.58,0.8,13,מעל שנה וחצי,,,13,79,233.8,1347.9,17.1,,,22.4,8.2,36.0,11.1,13.4,,,13.7,3.4,19.9,,,,,,,,,11.9,ימי חול - 12:00-14:59,2022,4
11891,891,1,קווים,חשמונאים,י-ם,מודיעין עילית,אשדוד,בינעירוני,מהיר,סדיר,בינעירוני,אוטובוס,1,64.9,64.89,0.5,52,מעל שנה וחצי,,,0,1,0.0,32.1,32.1,,,,,,,,,,,,,,,,,,,,,32.1,שבת - 19:00-23:59,2022,4
11891,891,2,קווים,חשמונאים,י-ם,אשדוד,מודיעין עילית,בינעירוני,מהיר,סדיר,בינעירוני,אוטובוס,1,66.9,133.75,0.4,58,מעל שנה וחצי,,,0,2,0.0,54.5,27.2,,,,,,,,,,,,23.3,,,,,,,,,31.2,שבת - 19:00-23:59,2022,4
11893,893,2,קווים,חשמונאים,י-ם,ראשון לציון,מודיעין עילית,בינעירוני,מהיר,סדיר,בינעירוני,אוטובוס,1,46.4,46.42,0.7,50,מעל שנה וחצי,,,0,1,0.0,33.0,33.0,,,,,,,,,,,,,,,,,,,,,32.0,שבת - 19:00-23:59,2022,4
11895,895,1,קווים,חשמונאים,י-ם,מודיעין עילית,בית שמש,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,1,47.9,95.88,0.9,72,מעל שנה וחצי,,,0,2,0.0,87.6,43.8,,,,,,,,,,,,,,,,,,,,,43.8,שבת - 19:00-23:59,2022,4
11895,895,2,קווים,חשמונאים,י-ם,בית שמש,מודיעין עילית,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,1,47.9,239.26,0.7,79,מעל שנה וחצי,,,0,5,0.0,161.3,32.3,,,,,,,,,,,,39.7,,,,,,,,,27.3,שישי - 12:00-14:59,2022,4
11900,900,1,דן,תל אביב,גוש דן,בני ברק,בני ברק,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,36,6.0,1199.61,5.7,20,מעל שנה וחצי,4.0,,37,212,1211.6999999999998,6835.899999999999,32.2,,,31.9,,35.3,,,,,28.2,,,,,,,,,,,,ימי חול - 12:00-14:59,2022,4
11900,900,2,דן,תל אביב,גוש דן,בני ברק,בני ברק,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,37,5.7,1206.31,5.3,21,מעל שנה וחצי,3.0,,36,206,1094.5,6333.4,30.7,,,,,31.3,28.3,,,,,21.8,48.8,,,,,,,,,,שישי - 12:00-14:59,2022,4
11901,901,1,אגד,ירושלים עירוני,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,2.5,14.94,35.6,7,מעל שנה וחצי,,,1,6,92.4,531.3,88.6,,,92.4,,,,,,,69.3,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
